Source,Target,airline,country,airline_name
YPJ,YVP,3H,NA,NA
YPX,AKV,3H,NA,NA
YPX,YGL,3H,NA,NA
YPX,YPH,3H,NA,NA
YPX,YVP,3H,NA,NA
YQB,YKL,3H,NA,NA
YQB,YUL,3H,NA,NA
YQC,YKG,3H,NA,NA
YQC,YWB,3H,NA,NA
YSK,YGW,3H,NA,NA
YSK,YUD,3H,NA,NA
YTQ,YPJ,3H,NA,NA
YTQ,YVP,3H,NA,NA
YUD,YGW,3H,NA,NA
YUD,YPH,3H,NA,NA
YUD,YSK,3H,NA,NA
YUL,YGL,3H,NA,NA
YUL,YGW,3H,NA,NA
YUL,YQB,3H,NA,NA
YUL,YUY,3H,NA,NA
YUY,YGW,3H,NA,NA
YUY,YUL,3H,NA,NA
YVP,XGR,3H,NA,NA
YVP,YGW,3H,NA,NA
YVP,YKG,3H,NA,NA
YVP,YKL,3H,NA,NA
YVP,YPH,3H,NA,NA
YVP,YPJ,3H,NA,NA
YVP,YPX,3H,NA,NA
YVP,YTQ,3H,NA,NA
YWB,YQC,3H,NA,NA
YWB,YZG,3H,NA,NA
YWK,YKL,3H,NA,NA
YWK,YZV,3H,NA,NA
YZG,YIK,3H,NA,NA
YZG,YWB,3H,NA,NA
YZV,YKL,3H,NA,NA
YZV,YWK,3H,NA,NA
JIB,DXB,3J,Canada,Zip
JIB,JED,3J,Canada,Zip
JIB,MGQ,3J,Canada,Zip
MGQ,NBO,3J,Canada,Zip
NBO,MGQ,3J,Canada,Zip
BKK,SIN,3K,Singapore,Jetstar Asia Airways
DRW,SIN,3K,Singapore,Jetstar Asia Airways
HAK,SIN,3K,Singapore,Jetstar Asia Airways
HGH,SIN,3K,Singapore,Jetstar Asia Airways
HKG,SIN,3K,Singapore,Jetstar Asia Airways
HKT,SIN,3K,Singapore,Jetstar Asia Airways
KIX,MNL,3K,Singapore,Jetstar Asia Airways
KIX,TPE,3K,Singapore,Jetstar Asia Airways
KUL,SIN,3K,Singapore,Jetstar Asia Airways
MNL,KIX,3K,Singapore,Jetstar Asia Airways
