"","name","Specialty_Code","hivpat","preppat","herpespat","syphpat","gonorpat","centdegree","centtrans","countIDconnections","cbetween","cclose","ceigen","lukeherpcount","lukehivcount","lukeprepcount","binaryPrep","AIDSVuCountyLevelHIVNewDiagnosesCases","ZIP","RuralUrbanFactor","X2013EstimatesMSM5YEAR","EVIDU","MARHOMO","HOMOSEX","plancount","prepcoverage","ruralsuburban"
"48416145","48416145","FP",1,5,27,0,0,16,0.425,0,41.26335,1.626001e-08,0.003986006,1,0,0,0,1844,90049,1,251521,1.138461538,1.4,2.123076923,247,247,2
"48431467","48431467","FP",2,1,10,0,0,15,0.2857143,0,50548.79,2.249943e-08,0.004006596,10,2,1,1,1844,91335,1,251521,1.138461538,1.4,2.123076923,247,247,2
"48435350","48435350","FM",26,0,3,0,0,13,0.3589744,2,244557.8,2.222633e-08,0.003790415,0,0,0,0,1844,90033,1,251521,1.138461538,1.4,2.123076923,247,247,2
"48435917","48435917","IM",0,0,25,0,0,64,0.5228175,0,37579.43,1.635079e-08,0.004919703,25,0,0,0,1844,91355,1,251521,1.138461538,1.4,2.123076923,247,247,2
"48466562","48466562","FP",0,0,14,0,0,23,0.3952569,0,38923.46,1.626003e-08,0.004005629,14,0,0,0,1844,90805,1,251521,1.138461538,1.4,2.123076923,247,247,2
"48467424","48467424","FP",0,0,16,0,0,5,0.7,0,1.309524,1.626e-08,0.003776255,16,0,0,0,1844,91335,1,251521,1.138461538,1.4,2.123076923,247,247,2
"48469157","48469157","FP",0,0,2,0,0,6,1,0,0,3.514108e-09,9.642446e-05,2,0,0,0,1844,90016,1,251521,1.138461538,1.4,2.123076923,247,247,2
"48510335","48510335","FM",0,0,19,0,0,15,0.8190476,0,3.954319,3.141338e-09,0.0002694052,8,0,0,0,1844,90250,1,251521,1.138461538,1.4,2.123076923,247,247,2
"48512625","48512625","FP",0,0,4,0,0,4,0.8333333,0,16.42296,1.644245e-08,0.003798076,4,0,0,0,1844,91402,1,251521,1.138461538,1.4,2.123076923,247,247,2
"48515361","48515361","GPM",0,0,30,0,0,98,0.5657479,1,42393.11,1.626008e-08,0.00601467,30,0,0,0,1844,90606,1,251521,1.138461538,1.4,2.123076923,247,247,2
"48515745","48515745","FP",0,2,13,0,0,10,0.4222222,0,113487.7,1.627812e-08,0.00377999,13,0,2,2,1844,90249,1,251521,1.138461538,1.4,2.123076923,247,247,2
"48517704","48517704","FM",0,0,3,0,0,81,0.5033951,0,62.99525,4.836017e-08,0.06803853,3,0,0,0,1844,90606,1,251521,1.138461538,1.4,2.123076923,247,247,2
