"","from","to","weight"
"1037","10759103","44664904",8
"1038","10759103","47384238",18
"1039","10759103","12159951",3
"1040","10759103","12163274",42
"1041","10759103","12430940",19
"1042","10759103","47809249",40
"1043","10759103","19835348",7
"1044","10759103","47375557",26
"1045","10759103","11215638",3
"1046","10759103","10874012",10
"1047","10759103","18475211",4
"1048","10759103","22343589",7
"1049","10759103","13035974",9
"1050","10759103","24623268",5
"1051","10759103","45132988",3
"1052","10759103","46875515",3
"1053","10759103","23925349",18
"1054","10759103","46877784",16
"1055","10759103","10921607",4
"1056","10759107","12509959",10
"1057","10759107","11312446",8
"1058","10759107","12430225",3
"1059","10759107","47683748",14
"1060","10759107","23028488",13
"1061","10759107","36878050",3
"1062","10759107","29485364",3
"1063","10759107","42594661",3
"1064","10759107","10981752",3
"1065","10759184","14612800",5
"1066","10759184","12166291",21
"1067","10759184","10812306",7
